index,Cluster
Monstra R 1,c1
Monstra R 2,c1
Monstra R 3,c1
Monstra R 4,c1
Monstra R 5,c1
Monstra R 6,c1
Monstra R 7,c1
Monstra R 8,c1
Monstra R 9,c1
Monstra R 10,c2
Monstra R 11,c1
Monstra R 12,c2
Monstra R 13,c1
Monstra R 14,c1
Monstra R 15,c2
Monstra R 16,c2
Monstra R 17,c2
Monstra R 18,c1
Monstra R 19,c1
Monstra R 20,c1
Monstra R 21,c1
Monstra R 22,c1
Monstra R 23,c1
Monstra R 24,c1
Monstra R 25,c1
Monstra R 26,c1
Monstra R 27,c1
Monstra R 28,c1
Monstra R 29,c1
Monstra R 30,c1
Monstra R 31,c1
Monstra R 32,c1
Monstra R 33,c2
Monstra R 34,c2
Monstra R 35,c1
Monstra R 36,c1
Monstra R 37,c1
Monstra R 38,c1
Monstra R 39,c1
Monstra R 40,c1
Monstra R 41,c1
Monstra R 42,c1
Monstra R 43,c1
Monstra R 44,c1
Monstra R 45,c1
Monstra R 46,c1
Monstra R 47,c2
Monstra R 48,c1
Monstra R 49,c1
Monstra R 50,c2
Monstra W 1,c2
Monstra W 2,c2
Monstra W 3,c2
Monstra W 4,c2
Monstra W 5,c2
Monstra W 6,c2
Monstra W 7,c2
Monstra W 8,c2
Monstra W 9,c2
Monstra W 10,c2
Monstra W 11,c1
Monstra W 12,c2
Monstra W 13,c1
Monstra W 14,c2
Monstra W 15,c2
Monstra W 16,c2
Monstra W 17,c2
Monstra W 18,c1
Monstra W 19,c2
Monstra W 20,c2
Monstra W 21,c1
Monstra W 22,c2
Monstra W 23,c2
Monstra W 24,c2
Monstra W 25,c2
Monstra W 26,c2
Monstra W 27,c2
Monstra W 28,c2
Monstra W 29,c2
Monstra W 30,c2
Monstra W 31,c2
Monstra W 32,c1
