lettr,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,C14,C15,C16
T,-1.3730356633000087,-1.0880990955858951,2.849630708232987,0.8939534543692988,-1.4905502858527109,0.25912725846685214,-1.5273105057949086,-1.305405071520719,-0.770397098142895,1.8000949418522612,-0.8650926663921643,0.4235496885937925,-0.5271973476637296,-0.10186361976274352,-0.11805519162878157,0.06659758310248085
I,-0.5167506597945701,1.8520943445698304,-0.47828206963392383,-0.7702347038937849,-1.2271768510670018,-1.421402503931404,0.4471783416758718,-1.2931229564018052,-0.4131228750086879,-1.701324894207404,-0.6206998092439499,-0.4389002188595951,-0.26261332878899996,-0.058012347700412914,-0.01632027725844013,0.2175287749640313
D,0.6188979750013628,2.0918572847450014,-0.134606147747129,-0.5704558754780581,-1.6185408230882588,0.6929834614864707,-0.09624880236474391,-0.41119843811059154,-1.2934640315682815,-0.10858043607090954,-0.13578415556308177,-0.577503165478277,0.4952175381271804,-0.12880977257178408,0.05144610165750101,-0.06655860823516455
N,1.1017399003808164,-0.7576422248981111,-0.18935511133907854,0.46894175317728115,0.8857447537826103,1.0039372554451431,-0.824036693284095,-1.834296482362753,0.0772544103617737,-0.4927762961000932,-0.17445142161744687,1.1255834526782316,0.7274218618270408,-0.27162334534329524,-0.10369408699166377,0.5061066424320331
G,-3.4561559850474186,-0.06678641147506438,-0.8428986295425003,-0.8538631896882143,0.3426824697416077,-0.5133531122556475,-0.5687316976181607,0.2538754923637904,1.1300054489397464,0.6592226045862185,0.5116809084434821,0.21169589823142904,-0.3449072507634413,-0.2271248831913556,-0.06354225595096741,-0.07032256709884382
S,0.3328688197015169,-1.768436082019464,-1.2707405771943328,-0.29834422131586735,-1.8466001029152055,0.6825472579752415,1.8339968206930364,0.35988541704494387,-0.5690211887090684,0.4575741155387373,-0.13712394972476125,0.2533020061999475,-0.7788637354663687,-0.07455423935751643,-0.23806187605660029,-0.04609865904549387
B,-1.1997081761423625,-0.5441370465467598,-0.7171866839859056,-1.831126680996237,-0.2786168793070907,-0.2586354806989183,-0.18298370499983874,0.6623948841095362,0.46296766273843615,0.6099247669995488,1.2121482630079514,-0.3778054242682855,-0.31386734067111427,0.31452870001586614,0.3961153945739677,0.02978891545947263
A,-3.672872228664987,2.588772569962582,0.819658651578504,-0.5490685541449873,1.2823653722757378,1.1481394993406877,0.15337179597474865,0.821605085821231,0.1041201204791778,-0.19991904731154198,-0.8909005690592249,0.37309245575947464,-0.54962281729039,0.5667003853618927,0.0017305596059757206,-0.06561027658123232
J,-2.4679897193537865,2.1854161023198113,1.5597743748751984,0.4700384022332429,-0.8133522616498511,0.2017185153681306,0.34775515494035913,0.6555597540892997,0.14400988251753633,0.48219466464326266,-0.11751384319074949,-0.22436695152047792,0.5798171327187128,0.3778844084007908,0.10253178092197598,0.36437876495176064
M,4.152373178937555,6.673828075519452,-1.6795230271073573,-0.021778928888176816,0.27950951899958076,-0.5894412751167385,1.5481547335429624,-0.8774714601190003,0.4849355935225072,0.8731266858619573,0.28321967579237173,0.1219088598112619,-0.21632617154987635,-0.060324291137964524,-0.027784181370851993,-0.18731928921132268
X,-0.01956435416955378,-0.6361201947321556,-0.5256289807820714,0.3131139652740217,-1.2521415507389788,1.3121000320857124,0.14945373795006223,0.5303061407445959,-0.5127461962092319,0.4138233804299969,-0.6538620405676496,0.16912488935800044,-0.23320986706803154,-0.011319765316728465,-0.16961991382087985,0.04379130167096229
O,1.4429138241867672,-0.20878405834900188,0.0780951540261498,-0.2815522682160032,0.5825271535974759,-1.1502646424312981,0.05602962984036625,-0.46582290817696353,-0.4591723313549525,-1.3443969361601757,-0.7482132450637528,-0.17807590883768235,-0.7559121775645364,-0.3510951328730985,-0.07750983896995103,0.3306939090656493
G,1.078733999536684,-0.09869837977541902,-1.2252560536766746,-0.8166192952849887,0.9172700051506092,-0.917989489936531,-0.46887150473293265,0.4819512403739047,-0.7399951426990029,0.09778396532516215,-1.2976514018953393,0.7704399291096689,0.10863294356929953,0.5167184290086819,-0.2019653065047406,-0.3110912817636808
M,2.891412314264334,-0.3881606908738269,-0.6714849060367543,-1.0290534186964486,0.7560360373852089,0.3942496865613313,0.15173926076163663,1.8793616513749158,0.053347431411374546,-0.19842474005452995,-0.03690374054092783,0.6753083053319767,0.9633060179949402,-0.43761838996990543,-0.0784655246419292,0.11746219805021442
R,0.3670097829514777,-0.13937471379311933,-1.3207490620449762,-1.509427882659568,0.6090095284517956,-1.7356132178350747,-0.39083934469340886,-1.283879326066042,-1.815324204760947,0.7450850385742068,0.34648554823492705,0.536419866518314,0.592218673901526,-0.026395648170895677,0.32583334736854025,-0.1202969285753953
F,-0.1595413814821289,0.8583254720089314,0.30554572331858676,-1.2996612487795993,-1.3150047060624894,-0.008354666119765753,-0.27605321096696533,-0.02654192680177334,0.6094990873302396,-1.0962725018396855,0.26908907393540493,0.4495503313059326,-0.5268686670760239,-0.13781179544573735,0.29265925959831407,-0.21697895103558348
O,-1.7084587598132297,-0.253296248644507,0.23470374795636179,-0.6313122002529525,0.7047970926570849,-0.4644680802302426,0.39465295897865504,-0.06486495097949739,1.065077859382687,0.6284678537705627,-0.19959338830511758,-0.23211935266405603,0.01971671650058016,-0.23425644926913564,-0.13392561154628746,-0.03114404918509509
C,0.020854958664043556,-0.5720855019425609,-0.5614367430584147,1.332631254953232,-0.5589036324426143,-1.5631294102917699,-0.004476918487669225,-0.6821741919081561,0.4273838142763162,-0.8563068124267607,0.9080991110280083,0.26786220668456034,-0.24159822642206696,-0.3474539151299769,0.32170111407766455,-0.033300947523191536
T,2.437939257213832,-2.037893752322202,3.246179251580483,0.10624949765371179,-0.3013393682396843,0.554626327500317,1.7865893322173523,-0.06265511059547711,-0.3109378560442747,-0.5246275640245762,-0.3441704797143607,-0.7878771787676395,0.6974532996982995,0.02703629767704009,0.2786465100564142,0.09253675898010433
J,-3.064562495540353,1.6799377143633083,1.4935050658217424,0.5342007889421669,-0.685874713462913,-0.21927590664982696,0.4621245606392665,0.3982094978213883,0.6395709750599964,0.06494091324436795,-0.4347490469976811,-0.08657391485406729,0.6960214971350652,0.24905534235242388,0.20267541981141327,0.1554425933268444
J,-3.287306896778466,1.3388833824601285,2.8779635524103626,0.6060312053120558,-0.317143516114568,-0.6280311381367623,0.10972219875248242,0.3587617062807628,-0.2610320069731824,-0.09149989480543642,-0.08767930778723095,-0.06353234749087219,0.5138017733236898,-0.21604353593970943,-0.024512969889337644,0.1408952425890237
H,-0.7044039646636716,-0.2142784344678064,0.048926818679762014,-0.252005752546453,0.6468470777197095,0.038816086943754775,0.03738733268740307,0.08865373282152429,0.5563196030056611,0.526122457864949,0.2240394208655331,-0.3536240288452146,0.2951335662360286,-0.32752013284335446,0.1802945121098625,-0.006767620792598066
S,-1.8958758889965337,-1.0732701880236726,-0.5380002396931923,-1.761721964672309,0.059515049393864934,-0.7509862925902523,0.7123089985727774,1.346687430881895,0.6528886203055433,0.2640868836074472,0.24762641956582745,0.8139040410274775,-0.38787348049895654,0.1642130117110138,-0.11740596113255986,0.4981289269990564
O,1.9340643478358779,-0.332672549959361,-1.1057640483809386,0.5157456070689445,0.8711810338012657,-0.011574111717253397,2.258809213350048,0.3455249614565543,0.42776994913896565,-0.0400969372074765,-0.9236579983102449,-0.108682907296207,0.4215416598764384,-0.1349844124242161,-0.16743265509197713,0.0240205934391406
J,-1.4028709648177728,1.2816624211457266,1.6836578477314286,2.3347065628730306,0.875154100127394,-1.5921001142604596,0.13726350182185937,0.7445441171225221,-0.020555556455350264,-0.35224035937608933,-0.7508440139738225,-0.2797301717625856,-0.33772698486903563,0.19512936361050132,0.0815847589765463,-0.26646324963995066
C,0.6783456580482051,-1.1724433415574123,-2.5393110313713843,2.812248139685853,-0.8193013466513062,-0.35317702367676795,0.17193640656711429,-1.1157772791522966,0.575928452112991,1.0464868531829994,-0.4040755750115114,0.2369297351727631,0.4394349952009724,-0.06808645322244396,0.11287018410508128,-0.3319492800347333
M,4.590252936700001,-0.5773903893092271,0.4110085273184502,1.2466702648031802,1.4026005865473887,-0.16606106884585956,-1.6903401328452745,1.2580829280957369,-0.39766959704888255,-0.5067392834883138,0.8560067024146594,-0.6841814959893833,0.0380478429890279,0.31762546038973677,-0.3935080081849427,-0.12660710734361044
W,5.674099356400551,-0.5382526045807039,1.781870013523259,-0.5490016122903306,0.35338587162672147,1.0802030553877278,-0.6533326080682534,-1.528036278736546,2.0733177069774498,-0.0028838970963243633,-0.4529279741631571,0.7026172071936034,-0.08778429857311734,0.6690823376948323,0.024227727936017292,-0.004216535680356343
H,1.8651803205650914,0.23922441689814644,-0.951556851370933,0.22941890793559236,0.04858283963659451,0.25725496606224196,-0.2059955585772817,0.1198222726088339,0.7277669475790555,0.33520648275317183,0.16307152952091475,-0.7357141024282758,0.29946011779799336,-0.14001187031947546,-0.059813755877550466,0.051500913836855705
G,-1.4514604905625308,-0.38738859759841415,-0.14940803747348214,0.044736040648027296,0.7955968806583352,0.1800889898054813,-0.17224081708752173,-0.038204520103478364,0.19756100608600463,0.004884459047821574,-0.360120713713057,0.09412258876299197,-0.5514266868602624,0.005520445372876015,-0.1559134696420477,-0.11175953585288582
L,-3.5966795916865273,-0.36940178560387515,-1.1648558781700582,0.10170089420384894,3.4202195152770742,3.5302849631286137,0.9392819434738474,-1.4208201231640105,-1.0419155177813004,-0.36585165315490087,0.4383242274774611,-0.4972443556197055,-0.3091037792032446,0.061453847117166054,0.30224865769595277,-0.007771484625823251
L,-4.0539128358457575,1.1605957441010977,0.19985513017380874,0.8655979523198749,0.17693601714809817,1.0608624614307585,-1.1400875638009702,0.1045858841281743,-0.13134576740448692,-0.5124363303050119,0.40484510950966157,0.3574172944144012,0.03949185892843537,-0.24034259810285605,0.02708902954785112,-0.4653764608241616
X,2.442485925646978,-0.9303245446059064,2.2160896818464826,3.075152987965866,0.5293143727891177,-0.5120879925559448,0.9652355264728175,0.6329826354211067,-0.3173516069318808,0.0013528767327616222,0.7598204921355823,0.511747486782662,-0.7288237733319873,-0.26852838620375175,0.3326961620669057,-0.3092065241137661
B,2.8829482058615987,-0.9961485166378256,0.18852371022522726,-2.154538429705589,-0.4668200087391769,0.8397582705729227,-0.724682989889854,1.7432623010914627,-0.15132215258924656,-0.047228735613081725,-0.7929303122909549,-0.33466642632784566,0.33237235104320995,0.0018141332638661226,0.47739933982110283,-0.4203928406170897
