,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,C14,C15,C16
 x-box,1.0,1.641803458526506,2.381152246428493,2.8103955173695283,3.123822773119522,3.1352082581622613,3.1681312567995126,3.1931757844695996,3.222615136914307,3.2285803999560323,3.3210914718347664,3.3222506505810916,3.9017248183639706,3.9063131168917824,3.909637068717333,3.9801754981490904
 y-box,0.6418034585265059,1.641803458526506,2.113015216136034,2.8148455410579767,3.1373988860265705,3.147801863349004,3.2013191294900873,3.2037518585876894,3.2074816958953214,3.2106531423200004,3.3023145585578733,3.30234425438973,3.6588146918871787,3.670576988869752,3.6844196687658446,3.742082344436979
 width,0.7393487879019871,1.2105605455115152,2.210560545511515,2.644919818562704,3.151959144307905,3.167532231397596,3.1717357933394053,3.172250683193453,3.189375482674484,3.1920352573957054,3.2617822113743133,3.2641970103215385,3.9501548222183813,3.956528695866005,3.957021933322438,4.057557682848436
 high,0.42924327094103565,1.1310735958629787,1.5654328689141679,2.5654328689141677,2.988221162395053,2.991259911192201,3.0169045215058836,3.0515343567060143,3.0582519464374696,3.0673810319924653,3.132048021187756,3.1336566190545403,3.388649524334966,3.391498654831126,3.45642165508682,3.4878052137071407
 onpix,0.31342725574999336,0.6359806007185871,1.1430199264637881,1.5658082199446737,2.5658082199446732,2.572343376610235,2.585396375748934,2.5931777061903194,2.6656547825430574,2.6668482619582248,2.725686090970988,2.7322843539134927,3.3696125231330933,3.370633649993799,3.4693543408551393,3.4973547757780508
 x-bar,0.01138548504273954,0.021788462365173036,0.037361549454864335,0.04040029825201234,0.046935454917574226,1.0469354549175742,1.0733510206003054,1.115442902776745,1.1357616454620154,1.210986889701875,1.2584179665235573,1.2847849000298706,1.2929647209294852,1.347415631623876,1.347782448009823,1.3810760753373637
 y-bar,0.0329229986372512,0.0864402647783345,0.0906438267201435,0.1162884370338258,0.12934143617252492,0.15575700185525598,1.1557570018552559,1.1598512413710176,1.1631884341833054,1.1687842630694458,1.539248811302738,1.599987365249687,1.6015790276544664,1.8582965564406273,1.865335995266539,1.9015247029083764
 x2bar,0.02504452767008693,0.027477256767689095,0.02799214662173664,0.06262198182186719,0.07040331226325265,0.11249519443969211,0.11658943395545375,1.1165894339554534,1.1167345787713945,1.1863254694702092,1.1863785609870405,1.202549107896354,1.2025590608250947,1.215805091367835,1.3701631282784852,1.3812624419599764
 y2bar,0.029439352444707,0.033169189752339207,0.05029398923337049,0.057011578964825706,0.12948865531756357,0.149807398002834,0.1531445908151219,0.15328973563106288,1.1532897356310625,1.2239558035153841,1.230959401983046,1.3153626494432251,1.4558533970068313,1.4614718028342244,1.5202860310998725,1.5203981258086532
 xybar,0.005965263041725462,0.009136709466404661,0.011796484187625873,0.02092556974262142,0.02211904915778898,0.09734429339764841,0.10294012228378892,0.1725310129826037,0.24319708086692524,1.2431970808669248,1.2480819410828108,1.2488673793860439,1.2489336124759478,1.334889014739218,1.428867381107861,1.4620672769071974
 x2ybr,0.09251107187873399,0.1841724881166067,0.25391944209521483,0.31858643129050584,0.37742426030326925,0.42485533712495155,0.7953198853582437,0.7953729768750749,0.8023765753427369,0.8072614355586228,1.8072614355586225,1.8073423412229785,1.897346713515047,2.092463026077107,2.0960954174224304,2.2385401249061534
 xy2br,0.0011591787463253224,0.0011888745781820005,0.0036036735254070264,0.005212271392191341,0.011810534334695873,0.038177467841009095,0.09891602178795798,0.11508656869727149,0.19948981615745043,0.20027525446068348,0.2003561601250396,1.2003561601250392,1.2019582246640415,1.317782532805986,1.3194059167537762,1.3514407863587492
 x-ege,0.5794741677828791,0.935944605280328,1.621902417177171,1.8768953224575968,2.5142234916771975,2.522403312576812,2.5239949749815915,2.5240049279103323,2.6644956754739386,2.664561908563843,2.754566280855911,2.7561683453949133,3.7561683453949133,3.763301986901883,3.767517518933857,3.811036100941987
 xegvy,0.0045882985278116375,0.016350595510384945,0.02272446915800868,0.02557359965416849,0.02659472651487424,0.08104563720926486,0.3377631659954258,0.35100919653816626,0.35662760236555946,0.4425830046288298,0.6376993171908897,0.7535236253328342,0.7606572668398042,1.7606572668398037,1.811218468046955,1.824002167662697
 y-ege,0.0033239518255506985,0.01716663172164341,0.017659869178076885,0.08258286943377083,0.1813035602951112,0.18167037668105843,0.18870981550696997,0.34306785241762,0.40188208068326803,0.49586044705191096,0.4994928383972341,0.5011162223450242,0.5053317543769983,0.5558929555841496,1.5558929555841492,1.5886275170192337
 yegvx,0.0705384294317572,0.12820110510289157,0.22873685462888954,0.26012041324921015,0.28812084817212147,0.32141447549966207,0.3576031831414994,0.3687024968229907,0.3688145915317714,0.4020144873311078,0.5444591948148305,0.5764940644198036,0.6200126464279335,0.6327963460436755,0.66553090747876,1.66553090747876
